star_id,star_name,star_type,constellation_id,right_ascension,declination,apparent_magnitude,spectral_type,distance_mly,temperature_k,added_by,verified_by
105,Star-00105,White Dwarf,232,201.89,67.174,0.0,F,23.976,6848.0,27.0,110.0
106,Star-00106,Main Sequence,28,78.162,23.521,0.938,M,22.879,3129.0,2.0,116.0
107,Star-00107,Main Sequence,171,94.783,-17.26,0.183,M,6.376,3270.0,31.0,119.0
108,Star-00108,Giant,188,155.275,88.014,3.656,K,534.491,4712.0,22.0,119.0
109,Star-00109,Giant,394,304.731,30.373,0.214,K,12.522,4189.0,45.0,103.0
110,Star-00110,Main Sequence,257,263.685,-32.39,2.67,G,355.138,5460.0,13.0,118.0
111,Star-00111,Main Sequence,201,61.824,3.467,0.855,G,2.845,5571.0,42.0,106.0
112,Star-00112,M Dwarf,185,268.194,-9.798,0.0,A,4.015,8906.0,19.0,120.0
113,Star-00113,Main Sequence,117,354.968,78.21,0.693,K,0.989,4731.0,28.0,98.0
114,Star-00114,Main Sequence,286,229.009,11.398,0.0,G,9.917,5711.0,8.0,102.0
115,Star-00115,Main Sequence,107,55.695,71.808,5.388,K,835.254,4598.0,88.0,97.0
116,Star-00116,M Dwarf,265,50.542,-77.292,0.394,A,114.268,8705.0,55.0,102.0
117,Star-00117,Giant,360,133.357,-16.094,0.266,M,53.725,3186.0,61.0,105.0
118,Star-00118,Main Sequence,263,259.322,-42.073,1.071,M,39.098,2834.0,12.0,104.0
119,Star-00119,Main Sequence,17,66.121,80.746,0.593,G,28.376,5531.0,25.0,110.0
120,Star-00120,Giant,235,289.954,14.157,0.265,M,13.676,2457.0,46.0,120.0
121,Star-00121,Main Sequence,374,70.11,26.684,2.16,F,284.335,6935.0,32.0,119.0
122,Star-00122,Main Sequence,269,255.046,1.164,1.057,G,183.405,5673.0,92.0,114.0
123,Star-00123,Main Sequence,159,218.362,88.672,5.172,M,848.515,2946.0,24.0,105.0
124,Star-00124,Giant,392,110.715,-58.209,0.979,K,71.764,4513.0,55.0,108.0
125,Star-00125,White Dwarf,96,345.652,83.434,0.0,K,34.511,4584.0,63.0,100.0
126,Star-00126,Main Sequence,317,239.078,-42.251,0.0,M,22.257,3295.0,45.0,99.0
127,Star-00127,Main Sequence,172,16.425,-22.453,3.35,G,443.325,5547.0,71.0,98.0
128,Star-00128,Main Sequence,269,347.043,-72.729,0.739,F,185.601,6996.0,65.0,116.0
129,Star-00129,Main Sequence,80,134.914,33.15,0.094,M,1.551,3121.0,20.0,115.0
130,Star-00130,Giant,393,92.355,76.752,1.423,G,176.019,5624.0,59.0,114.0
131,Star-00131,Giant,256,5.967,-9.549,5.099,K,779.041,4587.0,23.0,109.0
132,Star-00132,Main Sequence,258,321.526,-16.43,0.35,M,3.969,2973.0,82.0,98.0
133,Star-00133,Main Sequence,242,202.977,12.262,0.817,M,60.172,2762.0,45.0,111.0
134,Star-00134,Main Sequence,280,134.326,37.533,0.407,M,1.144,3343.0,40.0,103.0
135,Star-00135,Main Sequence,378,210.545,-68.106,0.0,K,5.564,4441.0,82.0,116.0
136,Star-00136,White Dwarf,36,51.275,-6.214,3.693,M,562.885,2717.0,10.0,113.0
137,Star-00137,White Dwarf,322,355.454,-31.363,0.706,A,24.253,8419.0,40.0,120.0
138,Star-00138,Main Sequence,242,196.188,-76.348,0.34,K,58.449,4748.0,84.0,107.0
139,Star-00139,Main Sequence,355,5.447,-14.848,0.561,G,71.626,5611.0,91.0,114.0
140,Star-00140,M Dwarf,290,186.267,78.825,0.783,M,3.082,3008.0,60.0,102.0
141,Star-00141,Main Sequence,249,132.623,34.058,1.534,G,240.725,5441.0,1.0,99.0
142,Star-00142,Main Sequence,243,133.149,-13.717,0.0,G,60.097,5546.0,96.0,104.0
143,Star-00143,Main Sequence,372,102.342,-0.237,0.508,G,4.454,5834.0,33.0,114.0
144,Star-00144,M Dwarf,326,358.906,69.185,2.128,M,245.483,3582.0,90.0,118.0
145,Star-00145,Main Sequence,346,314.488,51.775,3.06,M,479.166,2921.0,89.0,114.0
146,Star-00146,Main Sequence,126,220.89,20.301,0.673,M,2.088,2763.0,79.0,112.0
147,Star-00147,Main Sequence,177,316.452,83.013,2.508,G,236.167,5511.0,22.0,115.0
148,Star-00148,Main Sequence,15,254.535,43.67,4.037,M,611.916,3091.0,26.0,99.0
149,Star-00149,Main Sequence,91,234.662,-13.016,0.136,K,4.131,4611.0,66.0,97.0
150,Star-00150,Main Sequence,65,43.497,1.566,0.442,K,0.94,4080.0,82.0,115.0
151,Star-00151,Main Sequence,42,113.431,-52.055,0.339,F,3.228,6713.0,35.0,118.0
152,Star-00152,Giant,93,159.044,14.736,0.568,K,23.307,4466.0,45.0,106.0
153,Star-00153,Main Sequence,169,264.229,6.439,2.329,M,381.35,2881.0,56.0,110.0
154,Star-00154,Main Sequence,124,161.033,-34.453,1.398,K,116.692,4063.0,82.0,108.0
155,Star-00155,Main Sequence,257,85.16,-78.006,2.72,M,367.452,3176.0,80.0,120.0
156,Star-00156,Main Sequence,396,339.78,48.183,0.0,F,25.046,7047.0,32.0,105.0
157,Star-00157,Main Sequence,290,92.795,47.084,0.0,B,3.71,23243.0,12.0,118.0
158,Star-00158,Neutron Star,321,177.808,83.845,0.0,A,1.606,8170.0,91.0,108.0
159,Star-00159,Main Sequence,266,234.569,2.598,0.728,K,82.215,4322.0,76.0,107.0
160,Star-00160,Giant,205,320.895,-0.444,1.433,B,380.023,20644.0,27.0,105.0
161,Star-00161,White Dwarf,340,318.891,34.106,0.0,M,52.688,3298.0,1.0,98.0
162,Star-00162,Giant,308,257.284,69.973,0.145,F,2.111,6391.0,29.0,114.0
163,Star-00163,Main Sequence,297,325.217,23.471,1.551,G,146.299,5552.0,76.0,97.0
164,Star-00164,Main Sequence,49,4.921,63.423,0.952,M,11.913,2969.0,49.0,105.0
165,Star-00165,Main Sequence,314,21.234,64.573,4.799,M,787.956,3167.0,72.0,115.0
166,Star-00166,Main Sequence,358,350.761,43.846,0.0,M,2.684,2533.0,15.0,109.0
167,Star-00167,Main Sequence,205,120.052,33.032,0.135,O,299.627,39712.0,3.0,99.0
168,Star-00168,Giant,265,234.232,-25.434,1.083,K,114.801,4504.0,86.0,110.0
169,Star-00169,Main Sequence,281,264.429,3.839,0.807,G,14.975,5502.0,85.0,116.0
170,Star-00170,Main Sequence,371,48.262,-42.626,2.062,G,335.308,5534.0,74.0,117.0
171,Star-00171,Main Sequence,368,217.424,-71.382,0.709,M,197.515,2876.0,90.0,117.0
172,Star-00172,Main Sequence,193,161.985,63.627,0.484,F,99.392,6665.0,38.0,111.0
173,Star-00173,Main Sequence,397,209.45,-59.056,0.0,G,16.27,5729.0,81.0,119.0
174,Star-00174,M Dwarf,213,113.988,87.638,0.386,M,44.837,3088.0,27.0,118.0
175,Star-00175,Main Sequence,117,259.257,84.717,0.202,F,0.956,6775.0,43.0,107.0
176,Star-00176,Giant,17,154.688,-43.695,0.231,F,25.45,6606.0,70.0,113.0
177,Star-00177,Main Sequence,105,212.124,48.768,2.152,K,357.294,4600.0,59.0,100.0
178,Star-00178,Giant,73,42.297,66.77,0.597,G,58.149,5379.0,39.0,108.0
179,Star-00179,Main Sequence,136,235.816,75.167,0.665,K,0.315,4657.0,16.0,110.0
180,Star-00180,White Dwarf,69,42.986,6.891,0.0,G,1.775,5618.0,29.0,108.0
181,Star-00181,Main Sequence,169,268.841,85.825,1.607,G,312.246,5645.0,67.0,115.0
182,Star-00182,Main Sequence,53,56.571,-88.95,2.264,M,181.937,2969.0,24.0,105.0
183,Star-00183,Main Sequence,157,213.847,25.322,0.0,G,61.218,6000.0,82.0,116.0
184,Star-00184,Main Sequence,179,44.967,33.277,0.0,B,2.11,24591.0,66.0,110.0
185,Star-00185,Main Sequence,210,197.51,28.459,2.221,M,32.419,2935.0,66.0,107.0
186,Star-00186,Main Sequence,203,251.799,-0.573,1.6,A,87.329,9310.0,78.0,109.0
187,Star-00187,White Dwarf,158,295.455,-69.305,0.498,A,4.687,8571.0,76.0,104.0
188,Star-00188,Main Sequence,238,326.081,31.254,0.944,G,16.571,5719.0,28.0,114.0
189,Star-00189,Main Sequence,134,68.416,-20.699,0.937,K,245.497,4345.0,69.0,107.0
190,Star-00190,White Dwarf,130,174.945,55.865,0.711,M,52.566,3046.0,42.0,108.0
191,Star-00191,Main Sequence,101,214.692,19.533,1.24,F,61.489,6559.0,84.0,102.0
192,Star-00192,Main Sequence,149,136.964,-4.046,0.33,G,3.859,5696.0,92.0,120.0
193,Star-00193,White Dwarf,263,216.013,27.396,0.456,M,41.81,3012.0,11.0,118.0
194,Star-00194,Main Sequence,285,24.611,-49.723,1.93,G,270.132,5676.0,72.0,108.0
195,Star-00195,Main Sequence,90,64.172,-18.25,1.981,G,189.054,5620.0,36.0,103.0
196,Star-00196,Main Sequence,52,135.224,78.189,1.882,K,141.315,4248.0,48.0,97.0
197,Star-00197,Main Sequence,129,229.658,7.823,0.699,M,4.326,3205.0,5.0,102.0
198,Star-00198,Main Sequence,74,157.965,9.772,0.235,M,1.006,3356.0,67.0,120.0
199,Star-00199,Main Sequence,177,1.888,-24.439,1.842,G,250.768,5487.0,91.0,119.0
200,Star-00200,Main Sequence,284,252.418,-36.612,6.324,F,974.771,6287.0,7.0,98.0
201,Star-00201,Main Sequence,154,331.562,-28.284,0.771,G,6.269,5428.0,88.0,102.0
202,Star-00202,Main Sequence,271,82.554,66.557,2.199,G,488.136,5768.0,91.0,99.0
203,Star-00203,Main Sequence,235,265.303,66.755,0.264,M,14.705,3070.0,21.0,118.0
204,Star-00204,Main Sequence,323,337.038,-57.622,0.48,M,0.727,3172.0,86.0,100.0
205,Star-00205,White Dwarf,64,226.851,-43.232,2.533,A,515.666,9167.0,25.0,111.0
206,Star-00206,Neutron Star,133,358.949,60.625,0.823,B,311.832,23148.0,15.0,118.0
207,Star-00207,Main Sequence,68,108.651,63.907,0.215,G,4.223,5435.0,91.0,107.0
208,Star-00208,Main Sequence,119,45.731,68.414,0.562,M,14.671,3101.0,57.0,104.0
209,Star-00209,White Dwarf,188,298.106,65.255,2.745,K,503.388,4806.0,31.0,100.0
210,Star-00210,Main Sequence,129,229.139,-51.544,0.224,K,4.065,4469.0,43.0,117.0
211,Star-00211,White Dwarf,258,261.616,-43.804,0.0,G,3.714,5519.0,75.0,114.0
212,Star-00212,Main Sequence,238,121.605,-6.489,0.0,F,15.724,6507.0,17.0,98.0
213,Star-00213,Main Sequence,355,60.33,-8.537,0.323,K,68.63,4408.0,11.0,99.0
214,Star-00214,Main Sequence,335,194.335,-30.231,0.0,G,102.273,5761.0,13.0,113.0
215,Star-00215,Main Sequence,55,139.09,-17.971,4.392,K,686.912,4773.0,37.0,110.0
216,Star-00216,Main Sequence,354,66.598,-17.276,1.763,G,18.835,5607.0,79.0,108.0
217,Star-00217,Main Sequence,313,332.721,67.853,0.624,G,170.517,5563.0,66.0,107.0
218,Star-00218,White Dwarf,99,350.21,-24.873,1.042,M,1.845,3475.0,14.0,115.0
219,Star-00219,Main Sequence,359,15.255,21.609,1.314,M,103.605,2986.0,64.0,116.0
220,Star-00220,Main Sequence,245,184.589,-39.539,1.529,G,178.249,5471.0,40.0,106.0
221,Star-00221,Main Sequence,93,286.657,-15.082,0.0,K,21.073,4472.0,41.0,115.0
222,Star-00222,Main Sequence,242,205.361,-0.206,0.0,G,56.75,5454.0,10.0,114.0
223,Star-00223,Giant,364,149.79,-12.936,0.039,G,34.47,5554.0,57.0,97.0
224,Star-00224,White Dwarf,342,8.143,-62.691,0.0,G,10.608,5739.0,66.0,101.0
225,Star-00225,Main Sequence,383,354.686,-67.581,4.079,G,532.254,5568.0,23.0,98.0
226,Star-00226,White Dwarf,321,258.335,-1.834,0.956,K,1.886,4216.0,60.0,113.0
227,Star-00227,Main Sequence,194,142.504,4.611,0.306,B,59.196,15641.0,58.0,108.0
228,Star-00228,Main Sequence,308,177.73,-28.131,0.0,M,2.478,3075.0,40.0,115.0
229,Star-00229,Giant,38,275.718,-27.497,1.037,G,114.718,5753.0,9.0,114.0
230,Star-00230,Main Sequence,168,63.025,-10.084,0.28,F,60.417,6864.0,17.0,118.0
231,Star-00231,Giant,211,138.54,46.356,0.103,F,13.265,6775.0,35.0,105.0
232,Star-00232,Main Sequence,205,278.867,-53.586,3.027,M,277.233,3133.0,65.0,116.0
233,Star-00233,Main Sequence,266,0.38,-40.773,0.0,G,81.071,5431.0,48.0,109.0
234,Star-00234,Main Sequence,311,74.139,-55.97,0.165,G,57.585,5717.0,91.0,112.0
235,Star-00235,White Dwarf,340,344.789,55.591,0.0,A,51.144,8577.0,19.0,106.0
236,Star-00236,Main Sequence,9,68.78,35.331,2.247,M,233.817,3310.0,38.0,101.0
237,Star-00237,Main Sequence,120,20.117,42.986,0.0,M,8.319,3177.0,10.0,114.0
238,Star-00238,Main Sequence,354,310.449,83.026,0.447,M,17.139,3113.0,60.0,97.0
239,Star-00239,Main Sequence,119,37.708,29.288,0.09,M,16.597,2678.0,39.0,110.0
240,Star-00240,White Dwarf,165,129.402,10.781,1.455,M,149.225,3079.0,92.0,110.0
241,Star-00241,White Dwarf,293,356.562,-62.509,0.176,M,18.557,3029.0,23.0,102.0
242,Star-00242,Main Sequence,109,295.196,8.201,0.0,G,1.322,5525.0,21.0,119.0
243,Star-00243,Main Sequence,311,123.128,-87.179,0.917,M,44.63,3071.0,24.0,106.0
244,Star-00244,Giant,182,31.24,84.376,1.703,K,255.232,4610.0,60.0,101.0
245,Star-00245,White Dwarf,136,128.94,3.001,0.818,G,1.238,5508.0,57.0,100.0
246,Star-00246,Main Sequence,198,334.845,-87.452,0.0,O,47.781,42547.0,5.0,111.0
247,Star-00247,Main Sequence,265,305.254,-25.495,0.931,G,109.427,5613.0,14.0,120.0
248,Star-00248,Main Sequence,297,347.997,-8.811,1.455,G,154.588,5783.0,20.0,103.0
249,Star-00249,Main Sequence,61,59.2,-40.791,0.966,K,152.934,4224.0,17.0,98.0
250,Star-00250,Main Sequence,176,207.638,-56.305,0.739,K,143.722,4096.0,39.0,107.0
251,Star-00251,White Dwarf,94,301.864,-27.978,0.219,G,14.825,5622.0,96.0,115.0
252,Star-00252,Main Sequence,9,296.543,-57.692,2.21,M,218.161,3254.0,52.0,100.0
253,Star-00253,Main Sequence,3,123.394,34.041,0.0,G,23.5,5696.0,57.0,113.0
254,Star-00254,White Dwarf,192,199.526,-47.516,2.918,G,357.028,5529.0,3.0,104.0
255,Star-00255,Giant,190,300.432,30.293,0.025,M,1.392,2896.0,62.0,102.0
256,Star-00256,Giant,271,174.065,30.232,2.748,G,444.771,5488.0,77.0,99.0
257,Star-00257,M Dwarf,160,55.142,78.267,3.656,K,666.122,4485.0,52.0,104.0
258,Star-00258,Giant,203,263.249,78.671,1.424,M,90.928,3217.0,27.0,107.0
259,Star-00259,Main Sequence,176,232.243,-18.961,1.448,A,149.802,8747.0,20.0,115.0
260,Star-00260,Main Sequence,367,219.538,-2.893,2.777,F,346.953,6813.0,41.0,117.0
261,Star-00261,Main Sequence,380,144.487,21.247,0.257,K,14.053,4136.0,57.0,116.0
262,Star-00262,Giant,10,34.26,-61.996,0.857,O,560.416,35245.0,71.0,99.0
263,Star-00263,Main Sequence,301,111.701,86.102,2.54,K,353.246,4365.0,8.0,99.0
264,Star-00264,Main Sequence,312,278.771,-68.583,0.703,F,56.902,6463.0,63.0,101.0
265,Star-00265,Main Sequence,114,48.518,-3.502,0.51,G,36.419,5449.0,67.0,113.0
266,Star-00266,Main Sequence,271,277.268,-76.186,2.924,G,432.209,5579.0,2.0,97.0
267,Star-00267,Main Sequence,371,165.505,79.456,3.323,K,383.813,4226.0,72.0,97.0
268,Star-00268,Main Sequence,217,243.547,43.74,5.894,F,918.452,6452.0,68.0,107.0
269,Star-00269,Main Sequence,325,136.964,42.207,0.643,G,149.74,5572.0,61.0,99.0
270,Star-00270,Main Sequence,275,260.719,23.426,3.617,G,523.672,5736.0,94.0,116.0
271,Star-00271,Giant,302,34.884,-26.395,0.0,G,2.086,5593.0,47.0,117.0
272,Star-00272,Main Sequence,311,32.66,36.44,0.409,M,57.532,3310.0,11.0,120.0
273,Star-00273,Main Sequence,68,233.082,-37.355,0.556,F,3.62,6455.0,48.0,115.0
274,Star-00274,Giant,321,46.568,-60.846,0.0,M,1.94,3507.0,10.0,120.0
275,Star-00275,Main Sequence,75,150.127,-62.921,1.228,K,46.328,4588.0,31.0,102.0
276,Star-00276,Main Sequence,138,17.573,-19.309,4.807,M,775.39,3092.0,55.0,117.0
277,Star-00277,Giant,341,213.265,43.679,0.659,M,4.074,3012.0,80.0,110.0
278,Star-00278,Giant,118,359.418,53.754,0.703,M,8.336,3631.0,62.0,98.0
279,Star-00279,Giant,309,272.517,68.639,0.649,A,162.261,9009.0,65.0,98.0
280,Star-00280,Giant,152,190.885,-78.744,0.602,G,18.32,5556.0,16.0,106.0
281,Star-00281,Main Sequence,3,47.051,-61.927,0.0,G,22.103,5532.0,14.0,105.0
282,Star-00282,Main Sequence,81,125.73,-65.452,0.482,G,30.256,5234.0,69.0,100.0
283,Star-00283,Main Sequence,68,320.324,55.954,0.0,K,3.49,4519.0,73.0,100.0
284,Star-00284,Main Sequence,172,21.285,-87.755,1.992,G,423.861,5320.0,80.0,101.0
285,Star-00285,Main Sequence,206,114.651,-42.273,0.695,M,14.857,2874.0,22.0,105.0
286,Star-00286,Main Sequence,285,286.946,58.064,2.23,F,268.67,6441.0,50.0,118.0
287,Star-00287,Main Sequence,275,275.367,11.747,4.101,M,542.38,3007.0,68.0,105.0
288,Star-00288,Main Sequence,323,59.154,40.93,0.286,K,0.708,4883.0,70.0,109.0
289,Star-00289,Main Sequence,119,268.617,-25.59,0.0,O,15.091,41058.0,52.0,108.0
