galaxy_id,galaxy_name,galaxy_type,distance_mly,redshift,mass_solar,diameter_ly,added_by,verified_by
101,Galaxy-101,Elliptical,856,86,17,96081,38,115
102,Galaxy-102,Spiral,197,20,571,92355,3,106
103,Galaxy-103,Spiral,145,14,3303,128070,65,119
104,Galaxy-104,Spiral,810,81,416,57674,72,118
105,Galaxy-105,Spiral,686,69,496,151499,35,120
106,Galaxy-106,Elliptical,477,48,535,212637,68,116
107,Galaxy-107,Elliptical,38,4,131,116511,2,97
108,Galaxy-108,Elliptical,799,101,91,159184,2,99
109,Galaxy-109,Spiral,604,60,74,137400,53,108
110,Galaxy-110,Spiral,569,57,493,70720,59,110
501, Milky Way , Spiral,0,0,1500,105700,45,90
502, milky way, Spiral,0,0,1500,105700,45,90
503, Andromdea, Spiral,2.5,0.001,1322,220000,32,81
504, Triangulum, ,3,0.0009,558,60000,28,72
505, , Elliptical,55,0.015,329,120000,19,60
506, Sombrero, Lenticular,-5,0.002,9999,49000,25,71
507, Messier 87, Elliptical,53.5,-0.001,21,120000,21,63
508, Whirlpool, Spiral,23,0.0016, ,76000,17,59
509, Pinwheel, Spiral,21,0.0014,1234, ,20,55
510, Sombrero, Lenticular,-5,0.002,9999,49000,25,71
511, FakeGalaxy, Irregular,99999,0.9999,445,9999999,99,
