galaxy_id,galaxy_name,galaxy_type,distance_mly,redshift,mass_solar,diameter_ly,added_by,verified_by
116,Galaxy-116,Spiral,12.133,3.4517,427894421465,58233,32.0,98.0
117,Galaxy-117,Spiral,6.8,0.0,239476199194,128374,2.0,97.0
118,Galaxy-118,Spiral,928.746,167.8337,109544465176,98598,16.0,111.0
119,Galaxy-119,Elliptical,16.66,2.9508,175050623964,120068,10.0,97.0
120,Galaxy-120,Spiral,53.694,7.3425,432452420070,101895,69.0,114.0
121,Galaxy-121,Spiral,190.978,32.6098,236918739387,81981,40.0,111.0
122,Galaxy-122,Irregular,8.046,2.848,2112868736,17068,22.0,104.0
123,Galaxy-123,Spiral,441.73,76.7175,15437795937,51576,65.0,110.0
124,Galaxy-124,Spiral,56.026,8.7144,284572131121,157051,47.0,97.0
125,Galaxy-125,Elliptical,213.552,38.9499,385346574639,196810,18.0,118.0
126,Galaxy-126,Spiral,860.788,156.4169,125343530717,88499,51.0,104.0
127,Galaxy-127,Spiral,15.838,0.0,67017389212,78058,86.0,104.0
128,Galaxy-128,Spiral,127.117,24.8954,10011346852,73925,91.0,117.0
129,Galaxy-129,Spiral,26.938,6.0304,49932034621,98504,2.0,111.0
130,Galaxy-130,Spiral,1.042,0.0,345165184885,128707,21.0,113.0
131,Galaxy-131,Spiral,121.832,27.6098,15754597083,110096,56.0,106.0
132,Galaxy-132,Spiral,920.371,167.2384,523464854944,72753,5.0,112.0
133,Galaxy-133,Irregular,1.949,0.0,2323109247,5990,89.0,98.0
134,Galaxy-134,Elliptical,4.524,0.0,822157014296,124430,63.0,116.0
135,Galaxy-135,Spiral,3.906,2.0326,99963256504,89842,8.0,103.0
136,Galaxy-136,Spiral,6.981,0.0,23885131090,106127,74.0,118.0
137,Galaxy-137,Elliptical,41.742,7.9516,216271555162,222113,53.0,106.0
138,Galaxy-138,Elliptical,69.441,11.6432,3162478340112,112393,70.0,111.0
139,Galaxy-139,Elliptical,741.945,133.5936,284314206825,174806,90.0,104.0
140,Galaxy-140,Elliptical,1.527,0.0,1188591070462,207697,5.0,110.0
141,Galaxy-141,Spiral,6.756,3.1418,300741814723,88351,62.0,119.0
142,Galaxy-142,Spiral,100.546,19.5791,114872748133,110144,15.0,100.0
143,Galaxy-143,Spiral,4.105,7.1196,773364346600,118907,12.0,99.0
144,Galaxy-144,Spiral,18.254,8.4478,36693666676,106010,83.0,106.0
145,Galaxy-145,Irregular,178.609,33.6551,43863293448,2000,26.0,109.0
146,Galaxy-146,Elliptical,14.106,3.9469,264047432515,203747,21.0,116.0
147,Galaxy-147,Elliptical,4.141,3.5386,3162425353454,117855,15.0,98.0
148,Galaxy-148,Spiral,1.907,0.0,920743089681,102972,53.0,119.0
149,Galaxy-149,Spiral,31.802,8.4812,179067624829,63628,58.0,100.0
150,Galaxy-150,Spiral,125.705,21.4509,267389402335,100939,21.0,120.0
151,Galaxy-151,Spiral,38.044,5.0264,51669090854,129350,83.0,111.0
152,Galaxy-152,Elliptical,9.944,4.328,5722409870513,96362,64.0,120.0
153,Galaxy-153,Irregular,2.714,3.0122,66320469317,41312,63.0,114.0
154,Galaxy-154,Spiral,3.493,2.9791,304311142584,109711,1.0,104.0
155,Galaxy-155,Spiral,62.519,11.3571,668136859449,69512,48.0,116.0
156,Galaxy-156,Spiral,521.206,94.9874,123337056473,96834,28.0,103.0
157,Galaxy-157,Spiral,6.706,0.9868,74027073332,87780,29.0,109.0
158,Galaxy-158,Spiral,256.858,45.7444,50329870938,91103,3.0,116.0
159,Galaxy-159,Spiral,5.235,0.9755,19833801179,61392,36.0,97.0
160,Galaxy-160,Elliptical,10.305,5.634,119265115029,146410,91.0,116.0
161,Galaxy-161,Spiral,61.093,9.2492,20083072792,121877,21.0,117.0
162,Galaxy-162,Spiral,12.965,4.5203,16234646028,52521,83.0,114.0
163,Galaxy-163,Spiral,90.387,17.5099,313812385571,122433,88.0,98.0
164,Galaxy-164,Spiral,30.12,3.068,39482631226,22202,88.0,98.0
165,Galaxy-165,Elliptical,24.865,3.8619,8910748878067,110117,65.0,111.0
166,Galaxy-166,Irregular,15.571,0.0,22155323322,24967,59.0,97.0
167,Galaxy-167,Spiral,1.865,0.0,850877325068,129828,64.0,112.0
168,Galaxy-168,Spiral,8.143,3.9106,25083620192,97605,73.0,99.0
169,Galaxy-169,Spiral,49.96,6.1724,117682354853,100846,68.0,107.0
170,Galaxy-170,Spiral,526.538,94.1147,25261593585,70393,71.0,105.0
171,Galaxy-171,Spiral,13.074,2.9499,569125355403,149914,36.0,110.0
172,Galaxy-172,Elliptical,6.627,2.7778,8744244862530,175671,82.0,108.0
173,Galaxy-173,Spiral,4.571,6.0239,173915376572,53563,41.0,117.0
174,Galaxy-174,Spiral,35.198,3.5134,14008116866,111809,56.0,105.0
175,Galaxy-175,Spiral,11.132,0.0,24892838909,93504,10.0,102.0
176,Galaxy-176,Spiral,617.987,108.074,89908615021,109945,73.0,110.0
177,Galaxy-177,Spiral,6.098,4.3739,91371051830,20000,46.0,120.0
178,Galaxy-178,Spiral,9.684,5.9419,451839256084,141171,85.0,105.0
179,Galaxy-179,Spiral,12.124,2.8011,470386210236,21040,48.0,99.0
180,Galaxy-180,Irregular,90.359,20.5161,98672393632,25925,77.0,107.0
181,Galaxy-181,Elliptical,1.61,5.3753,5740512762560,151716,3.0,106.0
182,Galaxy-182,Irregular,42.68,5.9287,9479545137,35344,28.0,118.0
183,Galaxy-183,Spiral,1.105,0.0,85070655258,110726,47.0,98.0
184,Galaxy-184,Elliptical,2.534,0.7374,114701230953,118360,25.0,97.0
185,Galaxy-185,Elliptical,131.124,26.0926,171382615458,156333,40.0,100.0
186,Galaxy-186,Elliptical,129.469,23.8917,408117944098,79573,48.0,111.0
187,Galaxy-187,Spiral,880.458,161.3012,15646750328,60004,2.0,113.0
188,Galaxy-188,Elliptical,99.918,16.1169,5514644638245,35402,82.0,97.0
189,Galaxy-189,Irregular,92.425,14.8338,5095482233,47606,55.0,120.0
190,Galaxy-190,Spiral,591.222,105.7735,291048115105,65317,4.0,98.0
191,Galaxy-191,Irregular,1.332,0.0,2710694255,21500,76.0,101.0
192,Galaxy-192,Spiral,2.711,5.0661,37970278482,44775,71.0,111.0
193,Galaxy-193,Spiral,2.768,2.1057,16358540950,85650,28.0,118.0
194,Galaxy-194,Spiral,24.817,6.7584,18686077273,99896,59.0,98.0
195,Galaxy-195,Elliptical,298.913,54.1443,8438286168511,171096,51.0,107.0
196,Galaxy-196,Spiral,12.479,0.0,980152318816,102824,52.0,101.0
197,Galaxy-197,Spiral,1.951,1.0775,25676368679,118088,84.0,102.0
198,Galaxy-198,Spiral,11.506,3.8543,10700962991,113577,30.0,104.0
199,Galaxy-199,Spiral,408.088,68.2331,53636977628,67560,3.0,119.0
200,Galaxy-200,Spiral,227.993,41.5583,38561015286,24335,49.0,101.0
201,Galaxy-201,Elliptical,3.346,1.2232,8382011432830,198673,27.0,115.0
202,Galaxy-202,Spiral,537.383,96.6999,51353464260,106421,64.0,104.0
203,Galaxy-203,Spiral,530.202,88.0698,288370182533,79475,65.0,99.0
204,Galaxy-204,Spiral,6.195,0.4271,83409874318,82259,91.0,111.0
205,Galaxy-205,Irregular,1.349,1.1291,16598259395,2113,93.0,103.0
206,Galaxy-206,Elliptical,514.564,95.8517,197971489541,112422,88.0,119.0
207,Galaxy-207,Spiral,5.676,3.9815,81037463200,159596,63.0,113.0
208,Galaxy-208,Spiral,151.878,28.3019,676994853110,143457,82.0,113.0
209,Galaxy-209,Elliptical,2.468,1.3724,1564138174302,88412,78.0,116.0
210,Galaxy-210,Spiral,48.694,9.4484,12945315825,61795,49.0,117.0
211,Galaxy-211,Spiral,508.17,89.2572,225816702141,151406,90.0,107.0
212,Galaxy-212,Spiral,14.915,2.6986,18417742523,52164,14.0,116.0
213,Galaxy-213,Elliptical,164.507,30.4149,2146403275896,156313,65.0,98.0
214,Galaxy-214,Elliptical,173.591,33.3497,351197158739,160610,41.0,97.0
215,Galaxy-215,Elliptical,334.851,57.0451,2673876979822,170561,60.0,101.0
216,Galaxy-216,Spiral,24.726,4.7962,100317998933,92110,60.0,114.0
217,Galaxy-217,Spiral,1.355,0.0,404907415391,79672,78.0,107.0
218,Galaxy-218,Spiral,618.902,108.7428,25972729180,65789,79.0,117.0
219,Galaxy-219,Spiral,12.667,0.2561,243066318034,46111,15.0,99.0
220,Galaxy-220,Elliptical,26.039,5.9417,1114206110990,184820,9.0,111.0
221,Galaxy-221,Spiral,35.32,14.5657,395910221175,62239,88.0,113.0
222,Galaxy-222,Spiral,61.603,11.1217,43312580371,107210,94.0,104.0
223,Galaxy-223,Elliptical,13.194,5.9198,388273858004,198850,53.0,113.0
224,Galaxy-224,Elliptical,37.527,7.7581,793472297121,268170,7.0,114.0
225,Galaxy-225,Spiral,4.461,4.1531,162544804756,120255,39.0,97.0
226,Galaxy-226,Elliptical,374.008,67.9107,3358002458263,229640,72.0,112.0
227,Galaxy-227,Spiral,544.139,95.7729,12786213506,88662,24.0,103.0
228,Galaxy-228,Irregular,1.928,0.0,95354065533,38489,85.0,115.0
229,Galaxy-229,Spiral,16.335,0.0,17981904134,87945,72.0,120.0
230,Galaxy-230,Spiral,1.379,1.0849,60386443685,53976,80.0,97.0
231,Galaxy-231,Spiral,36.07,3.1772,94571129761,82949,7.0,108.0
232,Galaxy-232,Spiral,38.881,7.652,24840675028,136728,42.0,114.0
233,Galaxy-233,Irregular,967.588,172.8707,3825008448,41853,46.0,110.0
234,Galaxy-234,Spiral,1.406,0.0,347209565893,101517,42.0,100.0
235,Galaxy-235,Spiral,347.376,61.5833,34947124925,78604,57.0,108.0
236,Galaxy-236,Spiral,1.315,0.1251,163408724104,148397,32.0,104.0
237,Galaxy-237,Spiral,3.908,0.0,17862293520,101006,35.0,116.0
238,Galaxy-238,Elliptical,1.945,0.0,313918572408,185225,29.0,114.0
239,Galaxy-239,Spiral,154.561,22.9881,665494834119,98487,10.0,110.0
240,Galaxy-240,Spiral,1.168,0.0829,30370428112,54824,55.0,103.0
241,Galaxy-241,Spiral,49.53,10.1027,195574088016,65703,50.0,109.0
242,Galaxy-242,Spiral,120.348,24.5826,69515942862,88715,95.0,108.0
243,Galaxy-243,Spiral,8.782,2.6275,103854489501,99260,66.0,98.0
244,Galaxy-244,Spiral,171.485,25.1205,29269362749,29730,25.0,113.0
245,Galaxy-245,Spiral,158.425,32.0964,112756427648,93986,9.0,116.0
246,Galaxy-246,Spiral,749.547,132.0851,11402653684,109996,93.0,98.0
247,Galaxy-247,Elliptical,710.605,128.698,945022999807,87261,6.0,117.0
248,Galaxy-248,Spiral,15.885,0.0,69821789468,53327,85.0,105.0
249,Galaxy-249,Spiral,2.926,2.8157,26745610783,21968,32.0,116.0
250,Galaxy-250,Elliptical,2.081,0.774,980972071780,114811,46.0,104.0
251,Galaxy-251,Spiral,329.137,55.7718,117891275583,77973,47.0,116.0
252,Galaxy-252,Elliptical,168.529,37.0407,3516561642039,151845,47.0,119.0
253,Galaxy-253,Spiral,5.859,0.0,26889573883,89697,64.0,104.0
254,Galaxy-254,Spiral,81.546,16.5935,20724936780,125126,31.0,105.0
255,Galaxy-255,Spiral,1.159,0.3822,292570462010,106062,79.0,101.0
256,Galaxy-256,Spiral,4.744,2.5225,25991513716,147973,45.0,107.0
257,Galaxy-257,Spiral,22.95,0.0,121065864521,66652,88.0,110.0
258,Galaxy-258,Spiral,15.825,7.3356,913940637662,94659,27.0,120.0
259,Galaxy-259,Spiral,242.414,44.9452,65770944029,95381,76.0,100.0
260,Galaxy-260,Elliptical,13.587,1.8481,888465700077,117066,74.0,119.0
261,Galaxy-261,Spiral,31.023,2.7796,155629854330,20000,59.0,103.0
262,Galaxy-262,Elliptical,72.543,15.7257,1053948467166,138698,15.0,106.0
263,Galaxy-263,Spiral,7.914,3.0549,51522524060,73814,14.0,97.0
264,Galaxy-264,Irregular,114.961,23.7878,2476445794,37882,2.0,110.0
265,Galaxy-265,Irregular,483.32,82.5623,17731308454,21912,47.0,117.0
266,Galaxy-266,Spiral,1.279,6.3211,43231508527,63368,46.0,105.0
267,Galaxy-267,Spiral,1.048,0.0,47575065673,57511,1.0,103.0
268,Galaxy-268,Elliptical,920.737,164.2188,3433166089487,184343,59.0,106.0
269,Galaxy-269,Spiral,623.408,114.9015,101198721410,65726,32.0,101.0
270,Galaxy-270,Elliptical,61.243,16.4794,196932740479,124909,51.0,98.0
271,Galaxy-271,Spiral,14.791,3.2727,48890694343,45866,2.0,104.0
272,Galaxy-272,Elliptical,10.538,1.2663,4742310993684,256787,53.0,99.0
273,Galaxy-273,Irregular,186.708,39.428,1478151860,38371,87.0,108.0
274,Galaxy-274,Spiral,2.882,0.0,31190532355,26775,59.0,104.0
275,Galaxy-275,Spiral,326.959,63.001,184500531383,83366,32.0,108.0
276,Galaxy-276,Spiral,1.12,0.93,59427735531,62529,9.0,115.0
277,Galaxy-277,Spiral,32.922,10.4598,378640913640,98558,67.0,105.0
278,Galaxy-278,Elliptical,52.602,11.5457,738268581475,208712,48.0,112.0
279,Galaxy-279,Elliptical,2.876,6.0545,5008646059538,189326,1.0,105.0
280,Galaxy-280,Elliptical,35.087,11.7223,117704336361,30000,57.0,107.0
281,Galaxy-281,Spiral,10.811,2.5147,17260662511,113488,54.0,109.0
282,Galaxy-282,Spiral,626.586,112.0525,31229296333,90074,34.0,107.0
283,Galaxy-283,Spiral,40.794,6.5054,66234031054,91565,20.0,108.0
284,Galaxy-284,Spiral,172.291,33.3164,36691034278,128265,64.0,98.0
285,Galaxy-285,Spiral,8.356,2.7903,61279030358,90902,21.0,120.0
286,Galaxy-286,Spiral,1.007,3.4796,17600109806,88231,43.0,114.0
287,Galaxy-287,Spiral,1.822,0.0,113233862737,51008,35.0,99.0
288,Galaxy-288,Spiral,340.891,61.1335,82081465267,139618,85.0,110.0
289,Galaxy-289,Spiral,82.015,20.7314,805348446466,134755,30.0,115.0
290,Galaxy-290,Spiral,142.249,25.7224,63481229604,73066,30.0,114.0
291,Galaxy-291,Elliptical,13.102,5.0482,5269796292594,210819,55.0,116.0
292,Galaxy-292,Elliptical,59.679,14.5672,2502719117632,30000,68.0,117.0
293,Galaxy-293,Elliptical,354.572,60.9828,5092999611341,240682,75.0,97.0
294,Galaxy-294,Elliptical,358.993,59.6204,111513557422,100339,94.0,98.0
295,Galaxy-295,Spiral,55.27,6.2918,18819285592,56817,47.0,108.0
296,Galaxy-296,Elliptical,205.56,38.5498,6766542442633,30000,68.0,110.0
297,Galaxy-297,Irregular,12.222,3.2795,89769955215,18596,57.0,104.0
298,Galaxy-298,Spiral,122.644,19.5272,62815262512,93796,10.0,117.0
299,Galaxy-299,Elliptical,49.839,10.8557,185422233196,210976,81.0,105.0
300,Galaxy-300,Spiral,1.61,3.214,278726872229,86916,21.0,97.0
301,Galaxy-301,Spiral,1.895,0.0,39799719455,106729,35.0,114.0
302,Galaxy-302,Spiral,884.376,160.1973,58548389617,82466,15.0,108.0
303,Galaxy-303,Spiral,182.877,33.6757,27541826168,86542,39.0,113.0
304,Galaxy-304,Elliptical,227.101,40.9072,2503548773943,125695,89.0,106.0
305,Galaxy-305,Elliptical,3.204,0.0,369842686794,89484,56.0,103.0
306,Galaxy-306,Spiral,19.487,5.5334,21685908147,44014,96.0,109.0
307,Galaxy-307,Spiral,179.151,33.5947,135072049608,124699,82.0,108.0
308,Galaxy-308,Spiral,758.16,144.0293,303450181435,41537,94.0,98.0
309,Galaxy-309,Irregular,138.069,20.9418,90440491356,27029,80.0,106.0
310,Galaxy-310,Spiral,161.569,22.6075,21226451625,105912,57.0,102.0
311,Galaxy-311,Elliptical,47.509,6.0982,3264143152417,137304,81.0,109.0
312,Galaxy-312,Spiral,352.791,65.0222,50013071818,62773,18.0,120.0
313,Galaxy-313,Elliptical,7.889,0.6437,4366945863281,134575,53.0,109.0
314,Galaxy-314,Spiral,144.567,24.8945,277968108090,113136,37.0,107.0
315,Galaxy-315,Spiral,253.105,39.6539,708843723242,93677,75.0,97.0
316,Galaxy-316,Spiral,28.79,3.337,271787981216,97684,36.0,110.0
317,Galaxy-317,Spiral,23.16,0.0,119160384691,94765,23.0,109.0
318,Galaxy-318,Spiral,973.025,172.3223,237132132186,76877,62.0,98.0
319,Galaxy-319,Elliptical,962.313,173.7017,111081944700,159571,32.0,102.0
320,Galaxy-320,Elliptical,20.62,7.382,411442359326,217070,66.0,109.0
321,Galaxy-321,Elliptical,44.694,9.3777,1147963371002,228257,14.0,102.0
322,Galaxy-322,Spiral,9.679,0.0,326882444686,134903,33.0,99.0
323,Galaxy-323,Spiral,64.441,9.8691,10182568240,44711,30.0,119.0
324,Galaxy-324,Elliptical,2.648,1.6481,3709821438209,202150,5.0,112.0
325,Galaxy-325,Elliptical,7.347,0.0,104937533119,188464,81.0,98.0
326,Galaxy-326,Spiral,15.221,0.5654,11597649154,69509,68.0,117.0
327,Galaxy-327,Spiral,4.696,0.0,399238938345,49221,33.0,115.0
328,Galaxy-328,Irregular,1.154,0.3061,6291836660,37790,20.0,97.0
329,Galaxy-329,Spiral,148.098,26.226,374928015730,34899,52.0,105.0
330,Galaxy-330,Spiral,53.69,12.0771,79748942257,69081,70.0,100.0
331,Galaxy-331,Spiral,153.912,20.6667,14336677881,99878,17.0,111.0
332,Galaxy-332,Spiral,38.982,5.9548,337621054097,78355,52.0,102.0
333,Galaxy-333,Spiral,3.059,0.0,129431900843,46078,52.0,114.0
334,Galaxy-334,Spiral,4.335,3.0204,19044206082,74330,52.0,97.0
335,Galaxy-335,Spiral,232.549,40.9989,109104212587,125919,10.0,114.0
336,Galaxy-336,Elliptical,16.097,6.9769,1129394107023,183234,57.0,105.0
337,Galaxy-337,Elliptical,22.433,2.2421,1467558840292,103664,59.0,98.0
338,Galaxy-338,Irregular,81.048,15.4824,70922715555,19968,55.0,111.0
339,Galaxy-339,Spiral,65.685,8.7645,244154375964,100387,2.0,99.0
340,Galaxy-340,Spiral,2.409,4.7431,59415339425,116570,62.0,107.0
341,Galaxy-341,Elliptical,94.886,15.5799,5927967413928,170752,5.0,114.0
342,Galaxy-342,Spiral,46.375,8.5005,127322793525,93911,8.0,100.0
343,Galaxy-343,Irregular,63.644,5.3097,10638048396,17568,87.0,113.0
344,Galaxy-344,Spiral,174.421,31.4574,52785601243,56421,20.0,107.0
345,Galaxy-345,Spiral,8.096,5.9777,20821665987,83424,69.0,98.0
